Time - 2023-02-06T16:50:05.855275300; Level - INFO; Name - RepositoryServiceMapa; Message - add; Stacktrace - null
Time - 2023-02-06T16:50:05.855275300; Level - INFO; Name - RepositoryServiceMapa; Message - add; Stacktrace - null
Time - 2023-02-06T16:50:05.855275300; Level - INFO; Name - RepositoryServiceMapa; Message - add; Stacktrace - null
Time - 2023-02-06T16:50:05.855275300; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.855275300; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.855275300; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.855275300; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryService; Message - addObjectToArray; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryServiceMapa; Message - add; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryServiceMapa; Message - add; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryServiceMapa; Message - add; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryServiceMapa; Message - add; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryServiceMapa; Message - add; Stacktrace - null
Time - 2023-02-06T16:50:05.870902700; Level - INFO; Name - RepositoryServiceMapa; Message - add; Stacktrace - null
